gene	exgf3.bam
ENSMUSG00000000001	760
ENSMUSG00000000003	0
ENSMUSG00000000028	55
ENSMUSG00000000037	27
ENSMUSG00000000049	32
ENSMUSG00000000056	1494
ENSMUSG00000000058	370
ENSMUSG00000000078	1757
ENSMUSG00000000085	1520
ENSMUSG00000000088	2881
ENSMUSG00000000093	72
ENSMUSG00000000094	9
ENSMUSG00000000103	0
ENSMUSG00000000120	15
ENSMUSG00000000125	51
ENSMUSG00000000126	1013
ENSMUSG00000000127	621
ENSMUSG00000000131	3042
ENSMUSG00000000134	1539
ENSMUSG00000000142	908
ENSMUSG00000000148	841
ENSMUSG00000000149	1724
ENSMUSG00000000154	26
ENSMUSG00000000157	0
ENSMUSG00000000159	15
ENSMUSG00000000167	114
ENSMUSG00000000168	2492
ENSMUSG00000000171	2417
ENSMUSG00000000182	5
ENSMUSG00000000183	0
ENSMUSG00000000184	1696
ENSMUSG00000000194	1666
ENSMUSG00000000197	3613
ENSMUSG00000000202	538
ENSMUSG00000000204	0
ENSMUSG00000000214	93
ENSMUSG00000000215	2
ENSMUSG00000000216	4
ENSMUSG00000000223	3868
ENSMUSG00000000244	8
ENSMUSG00000000247	1870
ENSMUSG00000000248	1
ENSMUSG00000000253	1315
ENSMUSG00000000263	6
ENSMUSG00000000266	606
ENSMUSG00000000275	260
ENSMUSG00000000276	2396
ENSMUSG00000000278	469
ENSMUSG00000000282	1351
ENSMUSG00000000290	178
ENSMUSG00000000295	319
ENSMUSG00000000296	532
ENSMUSG00000000301	54
ENSMUSG00000000303	129
ENSMUSG00000000305	971
ENSMUSG00000000308	9196
ENSMUSG00000000317	93
ENSMUSG00000000318	55
ENSMUSG00000000320	43
ENSMUSG00000000325	1293
ENSMUSG00000000326	2426
ENSMUSG00000000339	1533
ENSMUSG00000000340	567
ENSMUSG00000000346	3452
ENSMUSG00000000355	757
ENSMUSG00000000359	24
ENSMUSG00000000365	7
ENSMUSG00000000374	3615
ENSMUSG00000000378	1066
ENSMUSG00000000381	0
ENSMUSG00000000384	944
ENSMUSG00000000385	1
ENSMUSG00000000386	21
ENSMUSG00000000392	139
ENSMUSG00000000394	2
ENSMUSG00000000399	2944
ENSMUSG00000000402	36
ENSMUSG00000000409	76
ENSMUSG00000000411	4
ENSMUSG00000000416	3435
ENSMUSG00000000420	1318
ENSMUSG00000000435	0
ENSMUSG00000000439	700
ENSMUSG00000000440	159
ENSMUSG00000000441	1165
ENSMUSG00000000486	49
ENSMUSG00000000489	878
ENSMUSG00000000530	578
ENSMUSG00000000531	1835
ENSMUSG00000000532	5310
ENSMUSG00000000538	11530
ENSMUSG00000000544	1
ENSMUSG00000000552	2365
ENSMUSG00000000555	96
ENSMUSG00000000560	3501
ENSMUSG00000000561	1448
ENSMUSG00000000562	23
ENSMUSG00000000563	5038
ENSMUSG00000000567	842
ENSMUSG00000000568	4017
ENSMUSG00000000579	14
ENSMUSG00000000581	759
ENSMUSG00000000594	2297
ENSMUSG00000000600	1263
ENSMUSG00000000605	5896
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	1922
ENSMUSG00000000628	126
ENSMUSG00000000631	7772
ENSMUSG00000000632	7142
ENSMUSG00000000673	5
ENSMUSG00000000682	52
ENSMUSG00000000686	11
ENSMUSG00000000690	0
ENSMUSG00000000693	146
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	431
ENSMUSG00000000711	3821
ENSMUSG00000000724	0
ENSMUSG00000000730	2
ENSMUSG00000000731	4
ENSMUSG00000000732	69
ENSMUSG00000000738	1727
ENSMUSG00000000739	6
ENSMUSG00000000740	276
ENSMUSG00000000743	2496
ENSMUSG00000000751	1264
ENSMUSG00000000753	529
ENSMUSG00000000759	1288
ENSMUSG00000000766	35
ENSMUSG00000000776	792
ENSMUSG00000000782	170
ENSMUSG00000000787	6400
ENSMUSG00000000791	29
ENSMUSG00000000792	235
ENSMUSG00000000794	690
ENSMUSG00000000804	6004
ENSMUSG00000000805	1488
ENSMUSG00000000811	255
ENSMUSG00000000817	3
ENSMUSG00000000823	2515
ENSMUSG00000000826	12144
ENSMUSG00000000827	1613
ENSMUSG00000000838	1730
ENSMUSG00000000861	2559
ENSMUSG00000000869	301
ENSMUSG00000000876	540
ENSMUSG00000000881	9285
ENSMUSG00000000884	107
ENSMUSG00000000889	26
ENSMUSG00000000901	59
ENSMUSG00000000902	1893
ENSMUSG00000000903	3
ENSMUSG00000000915	3830
ENSMUSG00000000916	279
ENSMUSG00000000934	462
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	136
ENSMUSG00000000957	544
ENSMUSG00000000958	47
ENSMUSG00000000959	1525
ENSMUSG00000000976	587
ENSMUSG00000000982	4
ENSMUSG00000000983	16
ENSMUSG00000001014	37
ENSMUSG00000001016	2395
ENSMUSG00000001017	3059
ENSMUSG00000001018	1311
ENSMUSG00000001020	2
ENSMUSG00000001021	16
ENSMUSG00000001023	0
ENSMUSG00000001025	666
ENSMUSG00000001027	0
ENSMUSG00000001029	87
ENSMUSG00000001034	725
ENSMUSG00000001036	3697
ENSMUSG00000001039	484
ENSMUSG00000001052	2078
ENSMUSG00000001053	323
ENSMUSG00000001054	1328
ENSMUSG00000001056	1075
ENSMUSG00000001062	1960
ENSMUSG00000001065	437
ENSMUSG00000001076	0
ENSMUSG00000001082	460
ENSMUSG00000001089	3004
ENSMUSG00000001095	1
ENSMUSG00000001098	991
ENSMUSG00000001100	3459
ENSMUSG00000001103	115
ENSMUSG00000001105	1621
ENSMUSG00000001119	2250
ENSMUSG00000001120	1798
ENSMUSG00000001123	258
ENSMUSG00000001127	3595
ENSMUSG00000001128	225
ENSMUSG00000001131	23
ENSMUSG00000001134	66
ENSMUSG00000001138	881
ENSMUSG00000001143	1151
ENSMUSG00000001150	1962
ENSMUSG00000001151	1402
ENSMUSG00000001155	4
ENSMUSG00000001156	663
ENSMUSG00000001157	682
ENSMUSG00000001158	988
ENSMUSG00000001166	38
ENSMUSG00000001168	0
ENSMUSG00000001173	2771
ENSMUSG00000001175	100461
ENSMUSG00000001211	9559
ENSMUSG00000001225	2
ENSMUSG00000001227	3553
