gene	gf3.bam
ENSMUSG00000000001	631
ENSMUSG00000000003	0
ENSMUSG00000000028	49
ENSMUSG00000000037	13
ENSMUSG00000000049	15
ENSMUSG00000000056	1063
ENSMUSG00000000058	280
ENSMUSG00000000078	1171
ENSMUSG00000000085	876
ENSMUSG00000000088	2284
ENSMUSG00000000093	33
ENSMUSG00000000094	10
ENSMUSG00000000103	0
ENSMUSG00000000120	16
ENSMUSG00000000125	36
ENSMUSG00000000126	614
ENSMUSG00000000127	426
ENSMUSG00000000131	1806
ENSMUSG00000000134	972
ENSMUSG00000000142	548
ENSMUSG00000000148	437
ENSMUSG00000000149	1618
ENSMUSG00000000154	10
ENSMUSG00000000157	0
ENSMUSG00000000159	5
ENSMUSG00000000167	70
ENSMUSG00000000168	1799
ENSMUSG00000000171	1889
ENSMUSG00000000182	2
ENSMUSG00000000183	0
ENSMUSG00000000184	1481
ENSMUSG00000000194	1112
ENSMUSG00000000197	2313
ENSMUSG00000000202	400
ENSMUSG00000000204	0
ENSMUSG00000000214	80
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	2113
ENSMUSG00000000244	2
ENSMUSG00000000247	1180
ENSMUSG00000000248	0
ENSMUSG00000000253	976
ENSMUSG00000000263	2
ENSMUSG00000000266	386
ENSMUSG00000000275	127
ENSMUSG00000000276	1814
ENSMUSG00000000278	383
ENSMUSG00000000282	884
ENSMUSG00000000290	111
ENSMUSG00000000295	236
ENSMUSG00000000296	346
ENSMUSG00000000301	30
ENSMUSG00000000303	87
ENSMUSG00000000305	574
ENSMUSG00000000308	7218
ENSMUSG00000000317	114
ENSMUSG00000000318	35
ENSMUSG00000000320	21
ENSMUSG00000000325	671
ENSMUSG00000000326	1468
ENSMUSG00000000339	1088
ENSMUSG00000000340	345
ENSMUSG00000000346	2390
ENSMUSG00000000355	736
ENSMUSG00000000359	7
ENSMUSG00000000365	6
ENSMUSG00000000374	2279
ENSMUSG00000000378	826
ENSMUSG00000000381	0
ENSMUSG00000000384	653
ENSMUSG00000000385	0
ENSMUSG00000000386	7
ENSMUSG00000000392	101
ENSMUSG00000000394	1
ENSMUSG00000000399	2056
ENSMUSG00000000402	12
ENSMUSG00000000409	35
ENSMUSG00000000411	2
ENSMUSG00000000416	1840
ENSMUSG00000000420	906
ENSMUSG00000000435	0
ENSMUSG00000000439	536
ENSMUSG00000000440	102
ENSMUSG00000000441	668
ENSMUSG00000000486	15
ENSMUSG00000000489	691
ENSMUSG00000000530	419
ENSMUSG00000000531	1291
ENSMUSG00000000532	3153
ENSMUSG00000000538	7457
ENSMUSG00000000544	1
ENSMUSG00000000552	1534
ENSMUSG00000000555	62
ENSMUSG00000000560	2466
ENSMUSG00000000561	1065
ENSMUSG00000000562	9
ENSMUSG00000000563	4412
ENSMUSG00000000567	471
ENSMUSG00000000568	2843
ENSMUSG00000000579	3
ENSMUSG00000000581	581
ENSMUSG00000000594	1488
ENSMUSG00000000600	878
ENSMUSG00000000605	4389
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	1131
ENSMUSG00000000628	73
ENSMUSG00000000631	4573
ENSMUSG00000000632	4879
ENSMUSG00000000673	0
ENSMUSG00000000682	27
ENSMUSG00000000686	3
ENSMUSG00000000690	0
ENSMUSG00000000693	81
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	338
ENSMUSG00000000711	2722
ENSMUSG00000000724	0
ENSMUSG00000000730	1
ENSMUSG00000000731	1
ENSMUSG00000000732	57
ENSMUSG00000000738	1085
ENSMUSG00000000739	4
ENSMUSG00000000740	188
ENSMUSG00000000743	1685
ENSMUSG00000000751	854
ENSMUSG00000000753	344
ENSMUSG00000000759	977
ENSMUSG00000000766	7
ENSMUSG00000000776	558
ENSMUSG00000000782	88
ENSMUSG00000000787	4418
ENSMUSG00000000791	22
ENSMUSG00000000792	183
ENSMUSG00000000794	338
ENSMUSG00000000804	3798
ENSMUSG00000000805	730
ENSMUSG00000000811	132
ENSMUSG00000000817	0
ENSMUSG00000000823	1270
ENSMUSG00000000826	8026
ENSMUSG00000000827	1094
ENSMUSG00000000838	1252
ENSMUSG00000000861	2001
ENSMUSG00000000869	199
ENSMUSG00000000876	365
ENSMUSG00000000881	5869
ENSMUSG00000000884	62
ENSMUSG00000000889	18
ENSMUSG00000000901	27
ENSMUSG00000000902	1234
ENSMUSG00000000903	3
ENSMUSG00000000915	2314
ENSMUSG00000000916	157
ENSMUSG00000000934	303
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	87
ENSMUSG00000000957	315
ENSMUSG00000000958	26
ENSMUSG00000000959	1017
ENSMUSG00000000976	292
ENSMUSG00000000982	0
ENSMUSG00000000983	20
ENSMUSG00000001014	37
ENSMUSG00000001016	1765
ENSMUSG00000001017	2222
ENSMUSG00000001018	989
ENSMUSG00000001020	4
ENSMUSG00000001021	6
ENSMUSG00000001023	0
ENSMUSG00000001025	383
ENSMUSG00000001027	0
ENSMUSG00000001029	54
ENSMUSG00000001034	396
ENSMUSG00000001036	2480
ENSMUSG00000001039	257
ENSMUSG00000001052	1221
ENSMUSG00000001053	400
ENSMUSG00000001054	913
ENSMUSG00000001056	799
ENSMUSG00000001062	1170
ENSMUSG00000001065	245
ENSMUSG00000001076	0
ENSMUSG00000001082	318
ENSMUSG00000001089	1926
ENSMUSG00000001095	0
ENSMUSG00000001098	603
ENSMUSG00000001100	2292
ENSMUSG00000001103	146
ENSMUSG00000001105	1108
ENSMUSG00000001119	1247
ENSMUSG00000001120	1087
ENSMUSG00000001123	112
ENSMUSG00000001127	2510
ENSMUSG00000001128	118
ENSMUSG00000001131	19
ENSMUSG00000001134	68
ENSMUSG00000001138	502
ENSMUSG00000001143	870
ENSMUSG00000001150	1187
ENSMUSG00000001151	776
ENSMUSG00000001155	3
ENSMUSG00000001156	430
ENSMUSG00000001157	483
ENSMUSG00000001158	753
ENSMUSG00000001166	40
ENSMUSG00000001168	0
ENSMUSG00000001173	1595
ENSMUSG00000001175	73204
ENSMUSG00000001211	6111
ENSMUSG00000001225	1
ENSMUSG00000001227	2354
ENSMUSG00000001228	17
ENSMUSG00000001229	1786
ENSMUSG00000001240	271
ENSMUSG00000001247	199
ENSMUSG00000001248	2421
ENSMUSG00000001249	16
ENSMUSG00000001260	311
ENSMUSG00000001270	14553
ENSMUSG00000001280	483
ENSMUSG00000001281	4
ENSMUSG00000001285	438
ENSMUSG00000001288	148
ENSMUSG00000001289	2100
ENSMUSG00000001300	1088
ENSMUSG00000001305	206
ENSMUSG00000001313	2201
ENSMUSG00000001323	1632
ENSMUSG00000001333	23
ENSMUSG00000001334	1730
ENSMUSG00000001348	2
ENSMUSG00000001349	14
ENSMUSG00000001366	1843
ENSMUSG00000001376	1524
ENSMUSG00000001380	2519
ENSMUSG00000001383	6758
ENSMUSG00000001403	25
ENSMUSG00000001415	2625
ENSMUSG00000001416	2356
ENSMUSG00000001418	749
ENSMUSG00000001419	5547
ENSMUSG00000001420	20
ENSMUSG00000001424	1648
ENSMUSG00000001435	124
ENSMUSG00000001436	286
ENSMUSG00000001440	4321
ENSMUSG00000001441	3405
ENSMUSG00000001444	2
ENSMUSG00000001445	1112
ENSMUSG00000001467	1879
ENSMUSG00000001472	18785
ENSMUSG00000001473	66
ENSMUSG00000001482	952
ENSMUSG00000001493	8
ENSMUSG00000001494	0
ENSMUSG00000001496	1
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	232
ENSMUSG00000001507	443
