gene	con4.bam
ENSMUSG00000000001	923
ENSMUSG00000000003	0
ENSMUSG00000000028	45
ENSMUSG00000000037	24
ENSMUSG00000000049	13
ENSMUSG00000000056	1449
ENSMUSG00000000058	457
ENSMUSG00000000078	1696
ENSMUSG00000000085	1246
ENSMUSG00000000088	2175
ENSMUSG00000000093	42
ENSMUSG00000000094	3
ENSMUSG00000000103	0
ENSMUSG00000000120	17
ENSMUSG00000000125	38
ENSMUSG00000000126	809
ENSMUSG00000000127	696
ENSMUSG00000000131	2807
ENSMUSG00000000134	1292
ENSMUSG00000000142	886
ENSMUSG00000000148	634
ENSMUSG00000000149	1860
ENSMUSG00000000154	11
ENSMUSG00000000157	1
ENSMUSG00000000159	6
ENSMUSG00000000167	96
ENSMUSG00000000168	2319
ENSMUSG00000000171	2354
ENSMUSG00000000182	4
ENSMUSG00000000183	1
ENSMUSG00000000184	2334
ENSMUSG00000000194	1687
ENSMUSG00000000197	3773
ENSMUSG00000000202	431
ENSMUSG00000000204	0
ENSMUSG00000000214	60
ENSMUSG00000000215	1
ENSMUSG00000000216	2
ENSMUSG00000000223	3291
ENSMUSG00000000244	3
ENSMUSG00000000247	1402
ENSMUSG00000000248	0
ENSMUSG00000000253	1205
ENSMUSG00000000263	19
ENSMUSG00000000266	663
ENSMUSG00000000275	203
ENSMUSG00000000276	2379
ENSMUSG00000000278	478
ENSMUSG00000000282	1211
ENSMUSG00000000290	216
ENSMUSG00000000295	231
ENSMUSG00000000296	516
ENSMUSG00000000301	40
ENSMUSG00000000303	125
ENSMUSG00000000305	868
ENSMUSG00000000308	8624
ENSMUSG00000000317	59
ENSMUSG00000000318	45
ENSMUSG00000000320	23
ENSMUSG00000000325	1099
ENSMUSG00000000326	1738
ENSMUSG00000000339	1162
ENSMUSG00000000340	550
ENSMUSG00000000346	3321
ENSMUSG00000000355	781
ENSMUSG00000000359	12
ENSMUSG00000000365	3
ENSMUSG00000000374	3443
ENSMUSG00000000378	1058
ENSMUSG00000000381	0
ENSMUSG00000000384	782
ENSMUSG00000000385	2
ENSMUSG00000000386	17
ENSMUSG00000000392	112
ENSMUSG00000000394	0
ENSMUSG00000000399	2545
ENSMUSG00000000402	26
ENSMUSG00000000409	71
ENSMUSG00000000411	1
ENSMUSG00000000416	2930
ENSMUSG00000000420	1350
ENSMUSG00000000435	0
ENSMUSG00000000439	677
ENSMUSG00000000440	129
ENSMUSG00000000441	1014
ENSMUSG00000000486	40
ENSMUSG00000000489	897
ENSMUSG00000000530	489
ENSMUSG00000000531	1568
ENSMUSG00000000532	5132
ENSMUSG00000000538	10631
