gene	con1.bam
ENSMUSG00000000001	827
ENSMUSG00000000003	0
ENSMUSG00000000028	61
ENSMUSG00000000037	12
ENSMUSG00000000049	17
ENSMUSG00000000056	1453
ENSMUSG00000000058	501
ENSMUSG00000000078	1749
ENSMUSG00000000085	1127
ENSMUSG00000000088	2532
ENSMUSG00000000093	48
ENSMUSG00000000094	8
ENSMUSG00000000103	0
ENSMUSG00000000120	21
ENSMUSG00000000125	37
ENSMUSG00000000126	783
ENSMUSG00000000127	613
ENSMUSG00000000131	2594
ENSMUSG00000000134	1256
ENSMUSG00000000142	848
ENSMUSG00000000148	539
ENSMUSG00000000149	1850
ENSMUSG00000000154	7
ENSMUSG00000000157	0
ENSMUSG00000000159	17
ENSMUSG00000000167	77
ENSMUSG00000000168	2210
ENSMUSG00000000171	2390
ENSMUSG00000000182	4
ENSMUSG00000000183	0
ENSMUSG00000000184	1929
ENSMUSG00000000194	1549
ENSMUSG00000000197	3020
ENSMUSG00000000202	582
ENSMUSG00000000204	0
ENSMUSG00000000214	90
ENSMUSG00000000215	0
ENSMUSG00000000216	4
ENSMUSG00000000223	2688
ENSMUSG00000000244	3
ENSMUSG00000000247	1855
ENSMUSG00000000248	2
ENSMUSG00000000253	1239
ENSMUSG00000000263	5
ENSMUSG00000000266	548
ENSMUSG00000000275	210
ENSMUSG00000000276	2174
ENSMUSG00000000278	393
ENSMUSG00000000282	1041
ENSMUSG00000000290	174
ENSMUSG00000000295	315
ENSMUSG00000000296	549
ENSMUSG00000000301	55
ENSMUSG00000000303	144
ENSMUSG00000000305	661
ENSMUSG00000000308	8456
ENSMUSG00000000317	80
ENSMUSG00000000318	56
ENSMUSG00000000320	52
ENSMUSG00000000325	1048
ENSMUSG00000000326	1879
ENSMUSG00000000339	1324
ENSMUSG00000000340	556
ENSMUSG00000000346	3387
ENSMUSG00000000355	903
ENSMUSG00000000359	25
ENSMUSG00000000365	1
ENSMUSG00000000374	3099
ENSMUSG00000000378	1050
ENSMUSG00000000381	0
ENSMUSG00000000384	802
ENSMUSG00000000385	0
ENSMUSG00000000386	14
ENSMUSG00000000392	99
ENSMUSG00000000394	4
ENSMUSG00000000399	2764
ENSMUSG00000000402	27
ENSMUSG00000000409	42
ENSMUSG00000000411	0
ENSMUSG00000000416	2352
ENSMUSG00000000420	1195
ENSMUSG00000000435	0
ENSMUSG00000000439	702
ENSMUSG00000000440	118
ENSMUSG00000000441	883
ENSMUSG00000000486	41
ENSMUSG00000000489	882
ENSMUSG00000000530	509
ENSMUSG00000000531	1689
ENSMUSG00000000532	4241
ENSMUSG00000000538	9504
ENSMUSG00000000544	0
ENSMUSG00000000552	1962
ENSMUSG00000000555	91
ENSMUSG00000000560	3501
ENSMUSG00000000561	1190
ENSMUSG00000000562	17
ENSMUSG00000000563	5117
ENSMUSG00000000567	665
ENSMUSG00000000568	3413
ENSMUSG00000000579	8
ENSMUSG00000000581	752
ENSMUSG00000000594	2102
ENSMUSG00000000600	1059
ENSMUSG00000000605	5701
