gene	exgf2.bam
ENSMUSG00000000001	682
ENSMUSG00000000003	0
ENSMUSG00000000028	30
ENSMUSG00000000037	21
ENSMUSG00000000049	17
ENSMUSG00000000056	1217
ENSMUSG00000000058	344
ENSMUSG00000000078	1539
ENSMUSG00000000085	1137
ENSMUSG00000000088	1997
ENSMUSG00000000093	58
ENSMUSG00000000094	9
ENSMUSG00000000103	0
ENSMUSG00000000120	13
ENSMUSG00000000125	27
ENSMUSG00000000126	739
ENSMUSG00000000127	475
ENSMUSG00000000131	2603
ENSMUSG00000000134	1254
ENSMUSG00000000142	700
ENSMUSG00000000148	632
ENSMUSG00000000149	1465
ENSMUSG00000000154	10
ENSMUSG00000000157	0
ENSMUSG00000000159	10
ENSMUSG00000000167	102
ENSMUSG00000000168	1996
ENSMUSG00000000171	1937
ENSMUSG00000000182	7
ENSMUSG00000000183	0
ENSMUSG00000000184	1713
ENSMUSG00000000194	1369
ENSMUSG00000000197	3080
ENSMUSG00000000202	430
ENSMUSG00000000204	0
ENSMUSG00000000214	49
ENSMUSG00000000215	0
ENSMUSG00000000216	4
ENSMUSG00000000223	3272
ENSMUSG00000000244	5
ENSMUSG00000000247	1400
ENSMUSG00000000248	0
ENSMUSG00000000253	908
ENSMUSG00000000263	6
ENSMUSG00000000266	507
ENSMUSG00000000275	192
ENSMUSG00000000276	2326
ENSMUSG00000000278	343
ENSMUSG00000000282	1185
ENSMUSG00000000290	110
ENSMUSG00000000295	251
ENSMUSG00000000296	403
ENSMUSG00000000301	58
ENSMUSG00000000303	84
ENSMUSG00000000305	795
ENSMUSG00000000308	6246
ENSMUSG00000000317	69
ENSMUSG00000000318	42
ENSMUSG00000000320	39
ENSMUSG00000000325	993
ENSMUSG00000000326	1595
ENSMUSG00000000339	1076
ENSMUSG00000000340	491
ENSMUSG00000000346	2732
ENSMUSG00000000355	761
ENSMUSG00000000359	26
ENSMUSG00000000365	13
ENSMUSG00000000374	2892
ENSMUSG00000000378	773
ENSMUSG00000000381	0
ENSMUSG00000000384	741
ENSMUSG00000000385	0
ENSMUSG00000000386	5
ENSMUSG00000000392	127
ENSMUSG00000000394	2
ENSMUSG00000000399	2049
ENSMUSG00000000402	27
ENSMUSG00000000409	58
ENSMUSG00000000411	7
ENSMUSG00000000416	3066
ENSMUSG00000000420	1097
ENSMUSG00000000435	0
ENSMUSG00000000439	539
ENSMUSG00000000440	158
ENSMUSG00000000441	943
ENSMUSG00000000486	44
ENSMUSG00000000489	767
ENSMUSG00000000530	505
ENSMUSG00000000531	1423
ENSMUSG00000000532	4090
ENSMUSG00000000538	8801
ENSMUSG00000000544	0
ENSMUSG00000000552	1773
ENSMUSG00000000555	67
ENSMUSG00000000560	3202
ENSMUSG00000000561	1182
ENSMUSG00000000562	11
ENSMUSG00000000563	3699
ENSMUSG00000000567	859
ENSMUSG00000000568	3417
ENSMUSG00000000579	16
ENSMUSG00000000581	461
ENSMUSG00000000594	1729
ENSMUSG00000000600	1301
ENSMUSG00000000605	5132
ENSMUSG00000000606	2
ENSMUSG00000000617	0
ENSMUSG00000000627	1522
ENSMUSG00000000628	123
ENSMUSG00000000631	6391
ENSMUSG00000000632	5497
ENSMUSG00000000673	2
ENSMUSG00000000682	19
ENSMUSG00000000686	4
