gene	exgf4.bam
ENSMUSG00000000001	915
ENSMUSG00000000003	0
ENSMUSG00000000028	61
ENSMUSG00000000037	29
ENSMUSG00000000049	13
ENSMUSG00000000056	1782
ENSMUSG00000000058	471
ENSMUSG00000000078	1406
ENSMUSG00000000085	1484
ENSMUSG00000000088	3553
ENSMUSG00000000093	44
ENSMUSG00000000094	7
ENSMUSG00000000103	0
ENSMUSG00000000120	23
ENSMUSG00000000125	53
ENSMUSG00000000126	876
ENSMUSG00000000127	739
ENSMUSG00000000131	3089
ENSMUSG00000000134	1702
ENSMUSG00000000142	1010
ENSMUSG00000000148	902
ENSMUSG00000000149	2467
ENSMUSG00000000154	10
ENSMUSG00000000157	0
ENSMUSG00000000159	13
ENSMUSG00000000167	114
ENSMUSG00000000168	2534
ENSMUSG00000000171	2961
ENSMUSG00000000182	2
ENSMUSG00000000183	0
ENSMUSG00000000184	2615
ENSMUSG00000000194	1770
ENSMUSG00000000197	3130
ENSMUSG00000000202	536
ENSMUSG00000000204	0
ENSMUSG00000000214	125
ENSMUSG00000000215	0
ENSMUSG00000000216	1
ENSMUSG00000000223	3412
ENSMUSG00000000244	0
ENSMUSG00000000247	1901
ENSMUSG00000000248	0
ENSMUSG00000000253	1555
ENSMUSG00000000263	3
ENSMUSG00000000266	581
ENSMUSG00000000275	258
ENSMUSG00000000276	2122
ENSMUSG00000000278	460
ENSMUSG00000000282	1487
ENSMUSG00000000290	179
ENSMUSG00000000295	361
ENSMUSG00000000296	597
ENSMUSG00000000301	56
ENSMUSG00000000303	103
ENSMUSG00000000305	900
ENSMUSG00000000308	11059
ENSMUSG00000000317	88
ENSMUSG00000000318	77
ENSMUSG00000000320	58
ENSMUSG00000000325	1262
ENSMUSG00000000326	2466
ENSMUSG00000000339	1627
ENSMUSG00000000340	666
ENSMUSG00000000346	3958
ENSMUSG00000000355	976
ENSMUSG00000000359	16
ENSMUSG00000000365	4
ENSMUSG00000000374	3309
ENSMUSG00000000378	1350
ENSMUSG00000000381	0
ENSMUSG00000000384	888
ENSMUSG00000000385	0
ENSMUSG00000000386	10
ENSMUSG00000000392	81
ENSMUSG00000000394	0
ENSMUSG00000000399	3537
ENSMUSG00000000402	29
ENSMUSG00000000409	91
ENSMUSG00000000411	6
ENSMUSG00000000416	2952
ENSMUSG00000000420	1350
ENSMUSG00000000435	0
ENSMUSG00000000439	810
ENSMUSG00000000440	184
ENSMUSG00000000441	1126
ENSMUSG00000000486	44
ENSMUSG00000000489	1457
ENSMUSG00000000530	667
ENSMUSG00000000531	2097
ENSMUSG00000000532	4829
ENSMUSG00000000538	11756
ENSMUSG00000000544	0
ENSMUSG00000000552	2286
ENSMUSG00000000555	102
ENSMUSG00000000560	3537
ENSMUSG00000000561	1567
ENSMUSG00000000562	32
ENSMUSG00000000563	5718
ENSMUSG00000000567	762
ENSMUSG00000000568	3734
ENSMUSG00000000579	10
ENSMUSG00000000581	823
ENSMUSG00000000594	2499
ENSMUSG00000000600	1243
ENSMUSG00000000605	6248
ENSMUSG00000000606	1
ENSMUSG00000000617	0
ENSMUSG00000000627	1782
ENSMUSG00000000628	116
ENSMUSG00000000631	7007
ENSMUSG00000000632	8398
ENSMUSG00000000673	8
ENSMUSG00000000682	49
ENSMUSG00000000686	4
ENSMUSG00000000690	0
ENSMUSG00000000693	128
ENSMUSG00000000701	0
ENSMUSG00000000706	5
ENSMUSG00000000708	403
ENSMUSG00000000711	4044
ENSMUSG00000000724	3
ENSMUSG00000000730	10
ENSMUSG00000000731	5
ENSMUSG00000000732	86
ENSMUSG00000000738	1788
ENSMUSG00000000739	8
ENSMUSG00000000740	295
ENSMUSG00000000743	3138
ENSMUSG00000000751	1381
ENSMUSG00000000753	554
ENSMUSG00000000759	1336
ENSMUSG00000000766	12
ENSMUSG00000000776	857
ENSMUSG00000000782	216
ENSMUSG00000000787	5388
ENSMUSG00000000791	28
ENSMUSG00000000792	254
ENSMUSG00000000794	815
ENSMUSG00000000804	5137
ENSMUSG00000000805	1354
ENSMUSG00000000811	258
ENSMUSG00000000817	0
ENSMUSG00000000823	2080
ENSMUSG00000000826	12201
ENSMUSG00000000827	1989
ENSMUSG00000000838	1606
ENSMUSG00000000861	2980
ENSMUSG00000000869	345
ENSMUSG00000000876	599
ENSMUSG00000000881	8814
ENSMUSG00000000884	122
ENSMUSG00000000889	31
ENSMUSG00000000901	55
ENSMUSG00000000902	2130
ENSMUSG00000000903	3
ENSMUSG00000000915	3364
ENSMUSG00000000916	267
ENSMUSG00000000934	498
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	74
ENSMUSG00000000957	456
ENSMUSG00000000958	63
ENSMUSG00000000959	1642
ENSMUSG00000000976	475
ENSMUSG00000000982	3
ENSMUSG00000000983	26
ENSMUSG00000001014	61
ENSMUSG00000001016	2705
ENSMUSG00000001017	3380
ENSMUSG00000001018	1500
ENSMUSG00000001020	10
ENSMUSG00000001021	23
ENSMUSG00000001023	0
ENSMUSG00000001025	530
ENSMUSG00000001027	0
ENSMUSG00000001029	103
ENSMUSG00000001034	662
ENSMUSG00000001036	4027
ENSMUSG00000001039	483
ENSMUSG00000001052	1992
ENSMUSG00000001053	615
ENSMUSG00000001054	1657
ENSMUSG00000001056	1029
ENSMUSG00000001062	1949
ENSMUSG00000001065	381
ENSMUSG00000001076	2
ENSMUSG00000001082	465
ENSMUSG00000001089	3029
ENSMUSG00000001095	2
ENSMUSG00000001098	994
ENSMUSG00000001100	3742
ENSMUSG00000001103	166
ENSMUSG00000001105	1802
ENSMUSG00000001119	3152
ENSMUSG00000001120	2027
ENSMUSG00000001123	302
ENSMUSG00000001127	4386
ENSMUSG00000001128	294
ENSMUSG00000001131	12
ENSMUSG00000001134	58
ENSMUSG00000001138	886
ENSMUSG00000001143	1221
ENSMUSG00000001150	2110
ENSMUSG00000001151	1186
ENSMUSG00000001155	0
ENSMUSG00000001156	704
ENSMUSG00000001157	757
ENSMUSG00000001158	1070
ENSMUSG00000001166	52
