gene	gf2.bam
ENSMUSG00000000001	950
ENSMUSG00000000003	0
ENSMUSG00000000028	57
ENSMUSG00000000037	28
ENSMUSG00000000049	16
ENSMUSG00000000056	1203
ENSMUSG00000000058	578
ENSMUSG00000000078	1681
ENSMUSG00000000085	938
ENSMUSG00000000088	2442
ENSMUSG00000000093	40
ENSMUSG00000000094	2
ENSMUSG00000000103	0
ENSMUSG00000000120	16
ENSMUSG00000000125	37
ENSMUSG00000000126	638
ENSMUSG00000000127	508
ENSMUSG00000000131	2167
ENSMUSG00000000134	1040
ENSMUSG00000000142	711
ENSMUSG00000000148	470
ENSMUSG00000000149	1463
ENSMUSG00000000154	1
ENSMUSG00000000157	0
ENSMUSG00000000159	6
ENSMUSG00000000167	90
ENSMUSG00000000168	2316
ENSMUSG00000000171	2013
ENSMUSG00000000182	6
ENSMUSG00000000183	0
ENSMUSG00000000184	1975
ENSMUSG00000000194	1250
ENSMUSG00000000197	3496
ENSMUSG00000000202	413
ENSMUSG00000000204	1
ENSMUSG00000000214	39
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	2676
ENSMUSG00000000244	2
ENSMUSG00000000247	1636
ENSMUSG00000000248	0
ENSMUSG00000000253	999
ENSMUSG00000000263	9
ENSMUSG00000000266	661
ENSMUSG00000000275	186
ENSMUSG00000000276	2319
ENSMUSG00000000278	313
ENSMUSG00000000282	1160
ENSMUSG00000000290	111
ENSMUSG00000000295	264
ENSMUSG00000000296	474
ENSMUSG00000000301	39
ENSMUSG00000000303	53
ENSMUSG00000000305	742
ENSMUSG00000000308	7309
ENSMUSG00000000317	58
ENSMUSG00000000318	28
ENSMUSG00000000320	17
ENSMUSG00000000325	786
ENSMUSG00000000326	1904
ENSMUSG00000000339	1277
ENSMUSG00000000340	488
ENSMUSG00000000346	3125
ENSMUSG00000000355	1062
ENSMUSG00000000359	20
ENSMUSG00000000365	5
ENSMUSG00000000374	2600
ENSMUSG00000000378	944
ENSMUSG00000000381	0
ENSMUSG00000000384	606
ENSMUSG00000000385	0
ENSMUSG00000000386	1
ENSMUSG00000000392	122
ENSMUSG00000000394	2
ENSMUSG00000000399	2353
ENSMUSG00000000402	30
ENSMUSG00000000409	52
ENSMUSG00000000411	1
ENSMUSG00000000416	2486
ENSMUSG00000000420	1248
ENSMUSG00000000435	0
ENSMUSG00000000439	639
ENSMUSG00000000440	115
ENSMUSG00000000441	782
ENSMUSG00000000486	39
ENSMUSG00000000489	788
ENSMUSG00000000530	430
ENSMUSG00000000531	1680
ENSMUSG00000000532	3959
ENSMUSG00000000538	8393
ENSMUSG00000000544	0
ENSMUSG00000000552	1512
ENSMUSG00000000555	73
ENSMUSG00000000560	4537
ENSMUSG00000000561	1248
ENSMUSG00000000562	17
ENSMUSG00000000563	5033
ENSMUSG00000000567	698
ENSMUSG00000000568	3673
ENSMUSG00000000579	14
ENSMUSG00000000581	1010
ENSMUSG00000000594	1892
ENSMUSG00000000600	1262
ENSMUSG00000000605	5374
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	1195
ENSMUSG00000000628	83
ENSMUSG00000000631	4432
ENSMUSG00000000632	5868
ENSMUSG00000000673	2
ENSMUSG00000000682	30
ENSMUSG00000000686	4
ENSMUSG00000000690	0
ENSMUSG00000000693	96
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	393
ENSMUSG00000000711	3389
ENSMUSG00000000724	0
ENSMUSG00000000730	2
ENSMUSG00000000731	0
ENSMUSG00000000732	55
