gene	gf1.bam
ENSMUSG00000000001	362
ENSMUSG00000000003	0
ENSMUSG00000000028	25
ENSMUSG00000000037	9
ENSMUSG00000000049	17
ENSMUSG00000000056	736
ENSMUSG00000000058	217
ENSMUSG00000000078	716
ENSMUSG00000000085	600
ENSMUSG00000000088	1923
ENSMUSG00000000093	35
ENSMUSG00000000094	3
ENSMUSG00000000103	0
ENSMUSG00000000120	15
ENSMUSG00000000125	11
ENSMUSG00000000126	523
ENSMUSG00000000127	223
ENSMUSG00000000131	1273
ENSMUSG00000000134	700
ENSMUSG00000000142	458
ENSMUSG00000000148	350
ENSMUSG00000000149	1068
ENSMUSG00000000154	9
ENSMUSG00000000157	0
ENSMUSG00000000159	7
ENSMUSG00000000167	36
ENSMUSG00000000168	1452
ENSMUSG00000000171	1393
ENSMUSG00000000182	5
ENSMUSG00000000183	0
ENSMUSG00000000184	873
ENSMUSG00000000194	872
ENSMUSG00000000197	1557
ENSMUSG00000000202	309
ENSMUSG00000000204	0
ENSMUSG00000000214	32
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	1645
ENSMUSG00000000244	2
ENSMUSG00000000247	830
ENSMUSG00000000248	0
ENSMUSG00000000253	756
ENSMUSG00000000263	7
ENSMUSG00000000266	218
ENSMUSG00000000275	121
ENSMUSG00000000276	1069
ENSMUSG00000000278	241
ENSMUSG00000000282	635
ENSMUSG00000000290	54
ENSMUSG00000000295	177
ENSMUSG00000000296	297
ENSMUSG00000000301	34
ENSMUSG00000000303	35
ENSMUSG00000000305	454
ENSMUSG00000000308	4890
ENSMUSG00000000317	42
ENSMUSG00000000318	35
ENSMUSG00000000320	17
ENSMUSG00000000325	643
ENSMUSG00000000326	1308
ENSMUSG00000000339	859
ENSMUSG00000000340	299
ENSMUSG00000000346	1890
ENSMUSG00000000355	288
ENSMUSG00000000359	15
ENSMUSG00000000365	3
ENSMUSG00000000374	1677
ENSMUSG00000000378	574
ENSMUSG00000000381	0
ENSMUSG00000000384	464
ENSMUSG00000000385	0
ENSMUSG00000000386	10
ENSMUSG00000000392	88
ENSMUSG00000000394	0
ENSMUSG00000000399	1541
ENSMUSG00000000402	25
ENSMUSG00000000409	22
ENSMUSG00000000411	1
ENSMUSG00000000416	1477
ENSMUSG00000000420	629
ENSMUSG00000000435	0
ENSMUSG00000000439	327
ENSMUSG00000000440	75
ENSMUSG00000000441	571
ENSMUSG00000000486	25
ENSMUSG00000000489	460
ENSMUSG00000000530	327
ENSMUSG00000000531	938
ENSMUSG00000000532	2467
ENSMUSG00000000538	5582
ENSMUSG00000000544	0
ENSMUSG00000000552	1029
ENSMUSG00000000555	49
ENSMUSG00000000560	1565
ENSMUSG00000000561	681
ENSMUSG00000000562	7
ENSMUSG00000000563	2700
ENSMUSG00000000567	339
ENSMUSG00000000568	1762
ENSMUSG00000000579	20
ENSMUSG00000000581	472
ENSMUSG00000000594	1114
ENSMUSG00000000600	538
ENSMUSG00000000605	2619
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	918
ENSMUSG00000000628	71
ENSMUSG00000000631	3345
ENSMUSG00000000632	3497
ENSMUSG00000000673	9
ENSMUSG00000000682	18
ENSMUSG00000000686	2
ENSMUSG00000000690	0
ENSMUSG00000000693	51
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	221
ENSMUSG00000000711	1821
ENSMUSG00000000724	0
ENSMUSG00000000730	2
ENSMUSG00000000731	0
ENSMUSG00000000732	59
ENSMUSG00000000738	837
ENSMUSG00000000739	3
ENSMUSG00000000740	137
ENSMUSG00000000743	1366
ENSMUSG00000000751	602
ENSMUSG00000000753	179
ENSMUSG00000000759	540
ENSMUSG00000000766	7
ENSMUSG00000000776	345
ENSMUSG00000000782	60
ENSMUSG00000000787	2643
ENSMUSG00000000791	10
ENSMUSG00000000792	94
ENSMUSG00000000794	249
ENSMUSG00000000804	2837
ENSMUSG00000000805	709
ENSMUSG00000000811	157
ENSMUSG00000000817	0
ENSMUSG00000000823	930
ENSMUSG00000000826	6179
ENSMUSG00000000827	849
ENSMUSG00000000838	866
ENSMUSG00000000861	1184
ENSMUSG00000000869	179
ENSMUSG00000000876	256
ENSMUSG00000000881	4332
ENSMUSG00000000884	80
ENSMUSG00000000889	19
ENSMUSG00000000901	17
ENSMUSG00000000902	985
ENSMUSG00000000903	0
ENSMUSG00000000915	1762
ENSMUSG00000000916	95
ENSMUSG00000000934	247
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	66
ENSMUSG00000000957	198
ENSMUSG00000000958	33
ENSMUSG00000000959	668
ENSMUSG00000000976	227
ENSMUSG00000000982	3
ENSMUSG00000000983	14
ENSMUSG00000001014	38
