gene	con3.bam
ENSMUSG00000000001	922
ENSMUSG00000000003	0
ENSMUSG00000000028	46
ENSMUSG00000000037	20
ENSMUSG00000000049	25
ENSMUSG00000000056	1615
ENSMUSG00000000058	363
ENSMUSG00000000078	2226
ENSMUSG00000000085	1348
ENSMUSG00000000088	3301
ENSMUSG00000000093	46
ENSMUSG00000000094	2
ENSMUSG00000000103	0
ENSMUSG00000000120	22
ENSMUSG00000000125	32
ENSMUSG00000000126	829
ENSMUSG00000000127	714
ENSMUSG00000000131	3359
ENSMUSG00000000134	1513
ENSMUSG00000000142	992
ENSMUSG00000000148	652
ENSMUSG00000000149	2058
ENSMUSG00000000154	8
ENSMUSG00000000157	0
ENSMUSG00000000159	9
ENSMUSG00000000167	123
ENSMUSG00000000168	2861
ENSMUSG00000000171	2936
ENSMUSG00000000182	7
ENSMUSG00000000183	0
ENSMUSG00000000184	2151
ENSMUSG00000000194	1930
ENSMUSG00000000197	3930
ENSMUSG00000000202	576
ENSMUSG00000000204	0
ENSMUSG00000000214	183
ENSMUSG00000000215	0
ENSMUSG00000000216	2
ENSMUSG00000000223	3500
ENSMUSG00000000244	4
ENSMUSG00000000247	1784
ENSMUSG00000000248	0
ENSMUSG00000000253	1450
ENSMUSG00000000263	3
ENSMUSG00000000266	650
ENSMUSG00000000275	248
ENSMUSG00000000276	2687
ENSMUSG00000000278	558
ENSMUSG00000000282	1033
ENSMUSG00000000290	204
ENSMUSG00000000295	365
ENSMUSG00000000296	667
ENSMUSG00000000301	39
ENSMUSG00000000303	160
ENSMUSG00000000305	1018
ENSMUSG00000000308	10663
ENSMUSG00000000317	68
ENSMUSG00000000318	46
ENSMUSG00000000320	34
ENSMUSG00000000325	1287
ENSMUSG00000000326	2401
ENSMUSG00000000339	1819
ENSMUSG00000000340	609
ENSMUSG00000000346	3908
ENSMUSG00000000355	879
ENSMUSG00000000359	20
ENSMUSG00000000365	10
ENSMUSG00000000374	3851
ENSMUSG00000000378	1183
ENSMUSG00000000381	0
ENSMUSG00000000384	948
ENSMUSG00000000385	0
ENSMUSG00000000386	9
ENSMUSG00000000392	111
ENSMUSG00000000394	1
ENSMUSG00000000399	3485
ENSMUSG00000000402	29
ENSMUSG00000000409	51
ENSMUSG00000000411	1
ENSMUSG00000000416	3327
ENSMUSG00000000420	1551
ENSMUSG00000000435	0
ENSMUSG00000000439	801
ENSMUSG00000000440	185
ENSMUSG00000000441	1214
ENSMUSG00000000486	29
ENSMUSG00000000489	831
ENSMUSG00000000530	563
ENSMUSG00000000531	2149
ENSMUSG00000000532	5718
ENSMUSG00000000538	11813
ENSMUSG00000000544	0
ENSMUSG00000000552	1935
ENSMUSG00000000555	78
ENSMUSG00000000560	4229
